"","Group","Th","Al","K","Ca","Sc","Ti","Mn","Fe","Ni","Cu","Zn","Ga","Ge","Se","Br","Rb","Sr","Y","Mo","Pd","I","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Ta","Mg"
"1","bhb",1.61908723744379,3.71790108598687,3.90113282093411,5.80903760431737,6.42350708081534,3.94834544975772,3.52061084101429,6.87663170866073,5.82416837525787,6.71260330118961,3.94432753393183,5.45943268160511,2.78157580094683,3.91105587497547,3.52610601141278,3.58891675980441,5.70017161046416,3.30186952530701,2.66816400716137,4.21769761217555,6.00037101289319,6.91636973139009,2.95375645994352,2.49549687747569,2.37732827197284,3.08606693270734,3.45123281938085,4.77220748642617,3.31597189401861,3.30073879817441,2.4595793246535,3.81926082435093,3.12061890797658,2.77658921366577,2.50715896495701,2.55481179233225,1.30199092505032,5.19914756584577
"2","mb",1.50235374349696,2.92766337136827,4.30716178853466,1.97653816149382,5.52659268113758,1.13780262186297,1.49859721981249,3.14417436064991,4.26047042151543,2.23510210093353,3.2970788954983,1.10408575982315,2.8173738658698,2.74800515168663,7.03552354711761,1.37493125069851,1.67835545211895,4.04343422044622,2.88953029728444,1.59169772962687,3.02175227637686,2.53094174109785,3.12154818555947,5.02562951225737,2.41278230712542,2.5932749446862,2.93200598873305,2.59721451095913,2.68284611358718,1.98939967157301,2.88136048256807,1.85078663507882,3.54941272613366,2.37181624167395,4.50596052207814,2.77763475201897,1.4663561494666,1.68527255318514
"3","nth",1.6432260532222,5.77297828952304,16.0431059931001,5.22375242575212,9.17398683200083,4.31428614110187,5.23473082241762,11.4121073549956,6.42038957288155,1.78140369832459,7.08679751052757,6.98620252260161,4.37215760011209,2.97964331929346,3.044040295055,2.92319534435016,5.69929638054318,4.9240703012242,6.40233847244851,2.45659979307408,6.35811501203512,7.1686587645768,4.08207878964557,2.39416953669775,6.18939827539165,6.10647563422164,4.06153674712438,4.09187358357942,2.70456927957938,3.66802715730385,4.59471772564817,4.91901882571843,5.86662375555776,3.68580468959361,2.64138928320183,4.64240684453099,1.03392269928474,17.9794600176452
"4","pm",1.70439330792907,5.43757300878487,3.71386223217099,3.60725817594367,8.23055205088862,5.62417183967575,2.06909027632591,5.60730931514844,1.91670966198276,1.63330860832906,5.34217053675288,3.08372490707201,2.67167731740322,2.79812416884012,2.34313767978246,4.90350606519332,3.46121307476373,3.97038954422085,2.79750987186799,2.06963012836344,2.71788604363927,4.19687608970888,5.92304113126517,3.28290310888838,6.20511074002188,4.66277596424868,3.5798565756107,3.64572137140811,4.33685849624445,3.25323914497866,3.67310776041392,3.87799663865982,2.98601454374798,3.67661166326017,3.72510362184959,3.84401475446331,1.70884354222062,7.23330530382918
